0	0	0
0	0	0
1	0	0
2	0	0
3	0	0
3	1	0
4	1	0
5	1	0
6	1	0
6	2	0
7	2	0
7	2	0
7	2	0
7	3	0
8	3	0
8	3	0
8	3	0
8	4	0
8	4	0
9	4	0
10	4	0
11	5	0
12	5	0
12	5	0
12	5	0
13	6	0
14	6	0
14	6	0
14	6	0
14	7	0
15	7	0
15	7	0
16	7	0
16	8	0
17	8	0
18	8	0
18	8	0
19	9	0
19	9	0
19	9	0
19	9	0
20	10	0
20	10	0
20	10	0
20	10	0
20	11	0
20	11	0
20	11	0
21	11	0
21	12	0
21	12	0
21	12	0
22	12	0
22	13	0
22	13	0
23	13	0
23	13	0
23	14	0
23	14	0
24	14	0
24	14	0
24	15	0
24	15	0
24	15	0
25	15	0
26	16	0
27	16	0
27	16	0
28	16	0
28	17	0
28	17	0
29	17	0
29	17	0
30	18	0
31	18	0
32	18	0
32	18	0
33	19	0
33	19	0
33	19	0
34	19	0
35	20	0
35	20	0
36	20	0
36	20	0
36	21	0
37	21	0
37	21	0
38	21	0
39	22	0
39	22	0
39	22	0
40	22	0
40	23	0
41	23	0
42	23	0
42	23	0
43	24	0
43	24	0
44	24	0
44	24	0
45	25	0
45	25	0
45	25	0
46	25	0
46	26	0
46	26	0
47	26	0
48	26	0
48	27	0
48	27	0
49	27	0
50	27	0
51	28	0
52	28	0
52	28	0
52	28	0
53	29	0
53	29	0
54	29	0
54	29	0
54	30	0
54	30	0
55	30	0
56	30	0
56	31	0
56	31	0
57	31	0
58	31	0
59	32	0
60	32	0
60	32	0
60	32	0
60	33	0
60	33	0
60	33	0
61	33	0
62	34	0
63	34	0
63	34	0
64	34	0
64	35	0
64	35	0
65	35	0
65	35	0
66	36	0
67	36	0
68	36	0
68	36	0
68	37	0
69	37	0
70	37	0
71	37	0
71	38	0
72	38	0
72	38	0
72	38	0
73	39	0
73	39	0
74	39	0
75	39	0
76	40	0
76	40	0
76	40	0
76	40	0
76	41	0
77	41	0
78	41	0
79	41	0
79	42	0
80	42	0
80	42	0
80	42	0
81	43	0
81	43	0
82	43	0
83	43	0
84	44	0
84	44	0
84	44	0
84	44	0
85	45	0
85	45	0
86	45	0
87	45	0
